Elliptic curve parameters:
name = secp256k1
mode = legacy
p = 115792089237316195423570985008687907853269984665640564039457584007908834671663
a = 0
b = 7
g = (55066263022277343669578718895168534326250603453777594175500187360389116729240, 32670510020758816978083085130507043184471273380659243275938904335757337482424)
n = 115792089237316195423570985008687907852837564279074904382605163141518161494337

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case                                                                             s                                                                               s_zk                                                                            s_rxk                                                                           s_zr                                                                            z                                                                               r                                                                               x                                                                               k-1                                                                             q                                                                               a                                                                               m1                                                                                                                                                                                             m2                                                                                                                                                                                             f                                                                                    
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D156                                                                             58876750108013040566439327791749376896493760642012715083024835856688976087295   114826998749398072011384183151862858625075100445996788307468609918232680739653  59841840595931163978626129648574426124256224475090831158161389079974456841979   64162601762735793670547611709063676970371978028650922484019584881582869400959   24012187263876854669230848503339492147126997092821763481367139000395190624845   50542333800304020510102633405292135622456758712120727353350032014730498967984   75634491789985312176930018744551614795850185482247757938243584522398729011209   18022022264189844928196117037036297060314953417815636091426337657349689351818   5285851654722753104108283917314300073878217386638207400994749024893893313664    732381906062756421248204701292076083833369388992433672082596582856149636991     -                                                                                                                                                                                              -                                                                                                                                                                                              156.7856848986091192758096113600847136803393205418438342401834501550404051667084     
D23                                                                              104031239468953708687296961717917503830851173782605035169274669898997859673833  50912105632389256907755764563072874243178287451399729899437633432758784364898   53119133836564451779541197154844629587672886331205305269837036466239075308935   109391105646675260754663936633395802387039894996265751705642224067801389919818  74039551904030961851273558646898956611081441518792996438236426739075480837249   37001711259626866488547576467148270322112363523872424205534998938050718930034   75634491789985312176930018744551614795850185482247757938243584522398729011209   114138201211253471563910909174450381731039534987869864305251123525157630428163  5359866177721552067366974915478298556188721213660716536367554168803530245985    2193782092244219407324438323829831263265470723051420978291140691730785000118    -                                                                                                                                                                                              -                                                                                                                                                                                              23.20745793868096963409083523637097805203653833138980702093225832924110516672542     
D234                                                                             22078138330986434518555740724676811162763070321200341283226685535667518393861   62411692971281277521023023969442464017392197202207733394057651602020276455420   75458534597021352421103701763922254998208437398067512271774197075165403432778   25713424560149182252783056620531098044954156167888300718824260944738112006319   19635426766891668868127053562960683516154594704761614454238351625851105868545   21794951404739370771214969180426891829736246330099064453727591308930634797146   47004994212287100668586526399309665157810930450884605030558772067262508211874   11379420656661594580200966733654834159441694935833090553254070459253516359133   3635286229162747734227315895854286882191085846687959435597575409070593612458    266420956009948113191845349551089869616555241072584669641233081243956719113     -                                                                                                                                                                                              -                                                                                                                                                                                              234.2596990341511856099775547272286991427516364061519895149852974742195632914818     
D67                                                                              62648000337596369152966955256835943724310519646961333543045012915394282202543   92263585753661562412819374818864114869676464586466550367813628854970839281672   86176503821251002163718565446659736707471619339569687557836547201941604415208   93286512835765230316819070928244082917474710596229691011510949738657000909875   54205156374614107711590765646085145113653949601226027159924751486108060653786   37996255564001065379163485798666571963361272114841889278467436854258394812364   14587565585717704753319039934613086820442202508178466732616465766832474504146   55186298005375989500898881945945325721321714618559281238632310836137503541420   30638512498168861163852115671408139193164190949268357468465936823262718707332   1370975341258646825262723914019665337982137748424618606113139268868844787879    -                                                                                                                                                                                              -                                                                                                                                                                                              67.29777186871751865573528048344957244661473768238826389923493389676717990914744     
D3                                                                               28999349947042648085460550880478646925280257658088411234296084094110691657163   30832691934549007199744042083688695923956169024603852338648672039309739796353   113958747249809836309287493805477858854161652912559463278252575196319113355147  47786930605228446548992678513937013355732312064079994620378400683689013644837   38141304658942116502943558843438870425095607268023424485415135946458256599301   114895152375214925426508475469255072348324190092293047530060680182738634535095  14587565585717704753319039934613086820442202508178466732616465766832474504146   11761716825865634071504531441633075320609906063030234562428857891730288475789   18787580658185798463532127633458366430452054405991583386082316589578321987674   10211769288856849621928423247020280494828203252096827848213767504532369669489   -                                                                                                                                                                                              -                                                                                                                                                                                              3.019329076323125037509080573041317753932697433719443839525685735957540237055759     
D25                                                                              39956665320209273089384884053330276764731783934385512843394232901638671747777   74343808356255349369459518359030182993356142349295314296668971509394043512484   81404946201270119143496350702988001624213205864165102929330424533762789729630   46138131117833881787372780284996885767050502409458391015593700081207077796352   42131002263122088199074640337122595884890526048414315641512647973547127257623   113124571697382535419102355013815551150467159669702278693666649039038958546146  14587565585717704753319039934613086820442202508178466732616465766832474504146   10463786297318554595641147242955329172270658383184968689114398028158456084350   6181465797624608697987896231666609002318718475072878172199467179568406048575    2867870534461620901457506663330622750819473083948243810197429824228235456327    -                                                                                                                                                                                              -                                                                                                                                                                                              25.92300017134900088271498411866191079249000528050181961304605967064372171759611     
D5                                                                               56953362049871334186586190218046671070847051567735969648582845267310372011151   107794759433838520407734096670665377401699596623299324738944363367060191217358  64950691853349009202423078556069201521985019223511549292243645041768342288130   95499793499934308579719009828199549466272454500905615305865928040861008387423   42343146090080319579217309289142453265926342931854817249206626731851805082727   52979720612628258127162309528630577088153707985746833863186613698234304740151   14587565585717704753319039934613086820442202508178466732616465766832474504146   2937071091474555153555693496335212624693886873767798382956983942281661860711    38546431450062974393132819610152878395425402933169645657283082773550636376272   18406930599808359793453370607893792675421648634566323991299762493759735634879   -                                                                                                                                                                                              -                                                                                                                                                                                              5.856205022849426332269236090435022238023185789375312267420480115111855469633771     
D8                                                                               42711360758122152245988475520103443658268045154274801940472652285403274237910   56258426279295387323037860425219356760832525428478932129183673530836158685044   102245023716142960346521600103571994750273084004870774193894141896085277047203  60594726047001103007363936123276006147092003198082768735486537544068560774268   101650828421117495465620090310691096400461211492777024042020321780252039108856  18380764531256105532469395018149453440148668089910087169873249860210734090711   47487602729430164483251867656791266522478529051419560564132299629514632679071   98426698821918410303376591964869420278479803940931340928280520267016217275869   17883365288878950761375460603172562488823958043807966795013885258665286536358   6944630180364250723237554313758318680620129066658868350444881768072701165194    -                                                                                                                                                                                              -                                                                                                                                                                                              8.100996715183556888926689834948468865485995327064092868080648565364171157023598     
D0                                                                               70611923168509485475614142805169114148014404416346671884515842158896407880870   284449119018325628129165857332752295546074043589249148025460475697349318059     70327474049491159847484976947836361852468330372757422736490381683199058562811   99154912436637822578689287380624985043845336721243822079460984370873186441340   79364908080519460275347036045513849483645754946178246913622657638121343092532   92681932783049887495171806396441746706816875823311550380234702169382549492662   47487602729430164483251867656791266522478529051419560564132299629514632679071   90796383193853023907198195127143778660235253353793813503358321238193493909814   28542989268128337103075144575455870895830932304897150194945142211976778560470   13525944632252811269463853654257372356352539806552371494625557734942850759930   -                                                                                                                                                                                              -                                                                                                                                                                                              0.021029889353535617452689727764854386833723046559294763446343815090480613541136     
D13                                                                              56856502095837082022939377079940450075228916192822095628227555438677417053710   77721240668810272762058982411726631099690051702485476941580698500110394834595   94927350664343004684451379676901726828376428769411523069252020080085183713452   82433592241898503804644370512986332431089333673592430631947253715851536156046   11922146705024581436629425799151645857015100931442935572368482585367071714565   75576464696550801875992384374530927313051639008656253991911816797311112744960   95348335340078484401098312920657182452521995859475873351978263579171552074432   12729779153132321334629459606809738807588604348169397626026859615539257937505   25577090146061421781704993433045882355860417480770335003719698277174119102336   5702321803714238459529390213848685363508081231281425620788158884329178849038    -                                                                                                                                                                                              -                                                                                                                                                                                              13.62975351867832468681054020492631659616757019099988677705217265163047298485777     
D12                                                                              34309515112629618542791941514562098193310891651265904195835481173708204703471   108463635087669249477674985739145442584477333571458841364826847211366983345122  41637969262276564488687940784104563461671122358881967213613797103859382852686   46960711961766517161741388981110598532383243553832595465584405623310362111826   54430877071963769440280902782958373854899684307669493180181162530972438548072   107509550452012788642805611845691578790627851109519985021040478580010873309958  95348335340078484401098312920657182452521995859475873351978263579171552074432   35195986201900906746048906915944331254401894556338663467173646567836088830127   12651196849136898618949447466548500339072351902566691269748924449602157408355   9007121414355821304893046581465097515166187846132521656337632274503889886761    -                                                                                                                                                                                              -                                                                                                                                                                                              12.04198656796128473988376302827955347772597940323976016653278913326494426052335     
D2                                                                               47571735104025843892543845026393343030735993081100910217744136080565322962337   15665256056815875751395438406466231412539705572298660064707840673357871267649   31906479047209968141148406619927111618196287508802250153036295407207451694688   88874481969558907023347863900787648729166171317147818651812138186288673374050   41670096657453511220480510616520971790010934075677846975424334481840063028287   59453429509691744413735466273014104307312409928729920091913104758214260173162   2992982797665427567128842892266785847956839230839644237345510077532177842589    38311559273494423803006302136123980980076993256097984605122507149711179647799   41302746865533063130804018874394305698430178236046908434068002105723350411713   6268988238492780761739826151999037332305814845054001783676133974841972550624    -                                                                                                                                                                                              -                                                                                                                                                                                              2.498849170050794240125494975646835162731983740384081263555470781155906452860532     
D1                                                                               29937219705069071667647832817299168643834286823198107223280897217909916318690   17820850397063143188889689112240981976852969926157814124464314369845170208943   12116369308005928478758143705058186666981316897040293098816582848064746109747   46281254554291861588337254968322842272299079648390916530908834725966901960208   99778943213529425417230400849682223291509394347511161911267207471330039567457   41669569464626960086033250064478655064093605024877356621390629179231485196390   2992982797665427567128842892266785847956839230839644237345510077532177842589    57931213349390281874530042232732476756679975980385155456465020642929033547602   16344034849222789920689422151023673628464792825192809307627937508056985641518   13593184855846281746958410666275495015369493998005297915652959709852930677172   -                                                                                                                                                                                              -                                                                                                                                                                                              1.311013613516672528011209839042438518461186427307085110072820162307761179779971     
