Elliptic curve parameters:
name = secp256k1
mode = test
p = 1241690119
a = 1
b = 35
g = (311072572, 523565415)
n = 1241630743

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         q           a           m1                       m2                       f                        
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D33          605639514   1034562047  812708210   1180840962  113662943   1033026787  1181877229  795805796   575201448   30438066    -                        -                        33.98908613313342575     
D81          969250789   640336279   328914510   1209597911  487733663   1156667060  1181877229  1070121647  240347122   7862301     -                        -                        81.44387743486289827     
D6           780059631   437755120   342304511   958086870   105960458   1151783501  1181877229  509050683   178027239   67950675    -                        -                        6.442248292603421526     
D29          420722319   752717535   909635527   815780289   452039431   1151192595  1181877229  646159234   395057970   25664349    -                        -                        29.32930560599842216     
D23          718665561   1033533595  926762709   887528488   1148222970  757391480   1181877229  909130202   168862927   43213853    -                        -                        23.91671936774533851     
D2           459869549   400770655   59098894    744983925   645516496   836804139   1181877229  902892417   285114376   174755173   -                        -                        2.293326418440271293     
D2           780165134   422053587   358111547   984202841   554405408   1195785708  1181877229  483478903   204037707   168052013   -                        -                        2.511446185414036069     
D4           439633517   168767262   270866255   638724083   759258097   173632103   1181877229  274390101   199090566   41452385    -                        -                        4.071352275629013867     
D149         742878428   872141821   1112367350  927139456   1162101763  421309172   1181877229  942579937   184261028   5834316     -                        -                        149.4848446673097583     
D4           472094866   788452043   925273566   772125792   452050236   171059785   1181877229  1109214816  300030926   172063940   -                        -                        4.582320054974912233     
D16          553707233   450847466   102859767   612273774   669918902   1222879168  1181877229  254949779   58566541    26608364    -                        -                        16.94382510702273916     
D4           816340320   519517867   296822453   955254759   455887962   358554188   1181877229  16545918    138914439   121768125   -                        -                        4.266452053852352575     
D2           300125383   236473293   63652090    510081908   476908600   57047971    1181877229  7036603     209956525   90168858    -                        -                        2.622560585163449669     
D16          850159586   546279060   303880526   885650797   522292633   753255958   1181877229  279849950   35491211    33861733    -                        -                        16.13263739336672461     
D6           526069723   901528994   866171472   719578387   413249065   908425532   1181877229  1222331950  193508664   139052395   -                        -                        6.483376241020516043     
D362         530163034   721665889   1050127888  533570607   826097831   428368636   1181877229  71368190    3407573     1989219     -                        -                        362.7885562122621993     
D6           651069423   1018263811  874436355   1141599901  1177973383  98879453    1181877229  510651595   490530478   160538945   -                        -                        6.342783746336441914     
D11          638813700   1180535448  699908995   1175874488  891601345   515076897   1181877229  499250620   537060788   101752912   -                        -                        11.60198194622675761     
D2           601147276   435219314   165927962   1039851189  111540706   154762313   1181877229  563268292   438703913   162443363   -                        -                        2.679206499806335578     
D45          457835217   418430427   39404790    468030153   493622613   69544726    1181877229  309540672   10194936    9258033     -                        -                        45.19647175593346880     
