Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         a           m1          m2          f                        
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D0           37056       2688        34368       13361       76123       45968       45809       79957       13361       -           -           0.201182546216600553     
D0           95040       4142        90898       73553       44223       84492       45809       97952       9092        -           -           0.455565332160140783     
D0           29017       13518       15499       86566       48595       252         45809       28839       29017       -           -           0.465864837853671985     
D0           81859       5504        76355       60734       2029        10591       45809       24023       18484       -           -           0.297771045228305561     
D0           35813       478         35335       67033       46356       12706       45809       42962       4593        -           -           0.104071413019812758     
D0           15169       12403       2766        68187       55468       11837       45809       87066       15169       -           -           0.817654426791482629     
D0           12109       8106        4003        25559       94844       32294       45809       43684       12109       -           -           0.669419440085886530     
D0           22944       16891       6053        53657       94187       54025       45809       20967       22944       -           -           0.736183751743375174     
D0           25913       11394       14519       94159       57481       15267       45809       12389       25913       -           -           0.439702080037047042     
D0           42983       20335       22648       88503       7447        94553       45809       36794       42983       -           -           0.473094013912477025     
D0           37218       5843        31375       8598        91379       36388       45809       65045       8598        -           -           0.679576645731565480     
D0           23561       20350       3211        59591       15922       38069       45809       7563        23561       -           -           0.863715461992275370     
D0           47600       8914        38686       98636       16075       72963       45809       91967       47600       -           -           0.187268907563025210     
D0           41099       12444       28655       83446       61558       81253       45809       53407       41099       -           -           0.302781089564222973     
D0           21227       10604       10623       79261       64140       84684       45809       63163       21227       -           -           0.499552456776746596     
D0           63853       8173        55680       14598       65089       6900        45809       35283       14598       -           -           0.559871215234963693     
D0           49490       42328       7162        99224       93986       8158        45809       56098       49490       -           -           0.855283895736512426     
D0           78965       12010       66955       16795       30258       9543        45809       85721       16795       -           -           0.715093777910092289     
D0           32799       21780       11019       92657       94140       41152       45809       73750       32799       -           -           0.664044635507180096     
D0           26184       12570       13614       80005       51171       14777       62512       62604       26184       -           -           0.480064161319890009     
D0           83353       4871        78482       26643       93111       52125       62512       33703       26643       -           -           0.182824756971812483     
D0           62970       22341       40629       24085       13193       52249       62512       94101       24085       -           -           0.927589786173967199     
D0           26908       15142       11766       63729       29545       35045       62512       28165       26908       -           -           0.562732272929983647     
D0           39620       39083       537         79836       42606       43779       62512       1084        39620       -           -           0.986446239273094396     
D0           78884       14138       64746       33225       67131       38434       62512       97945       33225       -           -           0.425522949586155003     
D0           54356       11996       42360       90643       27913       44554       62512       4478        18069       -           -           0.663899496375006917     
D0           33522       29427       4095        75245       40754       77666       54086       75772       33522       -           -           0.877841417576516914     
D0           84214       33306       50908       37324       8382        35486       54086       16413       37324       -           -           0.892348087021755438     
D0           92512       24483       68029       32725       81749       19194       54086       96801       32725       -           -           0.748143621084797555     
D0           99400       21108       78292       34486       86147       19002       54086       6810        34486       -           -           0.612074465000289972     
D0           46786       3087        43699       66231       84293       54432       54086       60517       7896        -           -           0.390957446808510638     
D0           69317       15168       54149       26789       10834       90608       54086       17186       26789       -           -           0.566202545821045951     
D0           80622       11143       69479       30332       90047       94235       54086       60804       30332       -           -           0.367367796386654358     
D0           12836       3516        9320        81373       62116       77245       54086       88384       12836       -           -           0.273917108133374883     
D0           16641       14935       1706        99455       45817       55088       91239       38136       16641       -           -           0.897482122468601646     
D0           87700       14583       73117       19432       58759       77632       91239       27650       19432       -           -           0.750463153561136270     
D0           86532       19015       67517       36227       96690       81844       91239       1768        36227       -           -           0.524884754464901868     
D0           98069       3031        95038       37228       53778       91932       91239       79416       37228       -           -           0.081417212850542602     
D0           98834       3492        95342       9566        7872        44036       91239       87361       9566        -           -           0.365042860129625757     
D0           57615       5401        52214       70274       48865       16753       91239       92818       6979        -           -           0.773893107895113913     
D0           63346       4796        58550       53651       97546       28404       91239       68463       5176        -           -           0.926584234930448222     
D0           21572       20276       1296        94296       31140       29231       91239       20715       21572       -           -           0.939922121268310773     
D0           56243       16864       39379       87559       55560       4671        91239       85259       24927       -           -           0.676535483612147470     
D0           65458       9148        56310       9494        51659       75240       91239       62273       9494        -           -           0.963555930061091215     
D0           31398       20598       10800       99433       54047       88171       91239       84273       31398       -           -           0.656029046436078731     
D0           45880       15162       30718       16520       89398       96744       91239       75615       16520       -           -           0.917796610169491525     
D0           91205       569         90636       39776       17877       87783       91239       79301       39776       -           -           0.014305108608205953     
D0           69178       2706        66472       47961       33697       92419       91239       51379       5527        -           -           0.489596526144382124     
D0           82340       9995        72345       39538       41083       15144       91239       8154        39538       -           -           0.252794779705599676     
D0           84976       3957        81019       55959       7921        69589       91239       63958       26942       -           -           0.146871056343255883     
D0           32381       17676       14705       83395       75498       97346       23712       26115       32381       -           -           0.545875667829900250     
D0           12639       3266        9373        67395       27286       18927       23712       28060       12639       -           -           0.258406519503125247     
D0           18135       3313        14822       29566       42538       94738       23712       7083        6704        -           -           0.494182577565632458     
D0           56602       4330        52272       18008       28365       48968       23712       24526       18008       -           -           0.240448689471346068     
D0           30665       11304       19361       68211       89560       66290       23712       82182       30665       -           -           0.368628729822272949     
D0           90496       28053       62443       36645       2760        16805       23712       50602       36645       -           -           0.765534179287760949     
D0           16579       13365       3214        74164       17027       14679       23712       89313       16579       -           -           0.806140297967308040     
D0           23285       12367       10918       56949       9311        75032       23712       10074       23285       -           -           0.531114451363538758     
D0           97947       9861        88086       59317       41084       7369        23712       85706       20687       -           -           0.476676173442258423     
D0           88163       26480       61683       41561       91300       15957       23712       59342       41561       -           -           0.637135776328769760     
D0           24164       20165       3999        66214       65899       65268       23712       93359       24164       -           -           0.834505876510511504     
