Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         a           m1          m2          f                        x_recovered 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D2           56918       65993       90592       85949       44629       50042       87312       57974       27887       -           -           2.366443145551690752     -           
D13          35783       19491       16292       70082       63024       67499       87312       46176       1484        -           -           13.13409703504043126     -           
D2           72547       31123       41424       88035       2876        53087       87312       74969       10595       -           -           2.937517697026899480     -           
D7           43684       72226       71125       54951       74680       14824       87312       30539       9883        -           -           7.308104826469695436     -           
D1079        41446       44251       96862       42629       82149       54485       87312       47669       41          -           -           1079.292682926829268     -           
D2           38423       26757       11666       65419       66025       41880       87312       32235       11427       -           -           2.341559464426358624     -           
D8           45150       75569       69248       81022       22148       34069       87312       8774        9278        -           -           8.144966587626643673     -           
D127         94573       7758        86815       96542       77683       11647       87312       79619       61          -           -           127.1803278688524590     -           
D2           49036       25703       23333       68295       36749       68458       87312       30840       10518       -           -           2.443715535272865563     -           
D3           69185       66201       2984        93699       39802       45619       87312       77420       20157       -           -           3.284268492335168923     -           
D0           43175       419         42756       64472       67889       41931       87312       58678       581         -           -           0.721170395869191049     -           
D22          70526       27252       43274       87851       83377       12066       87312       97683       1226        -           -           22.22838499184339314     -           
D5           47181       40758       6423        86828       6614        9145        87312       37046       7534        -           -           5.409875232280329174     -           
D114         36095       97123       38639       71341       31095       42991       87312       97638       849         -           -           114.3969375736160188     -           
D11          28792       75853       52606       51153       85905       38503       87312       25248       6431        -           -           11.79489970455605660     -           
D41          66459       28676       37783       69199       41141       61300       87312       34658       699         -           -           41.02432045779685264     -           
D31          51520       8617        42903       68603       62667       50664       87312       93878       271         -           -           31.79704797047970479     -           
D7           75979       81522       94124       97583       54794       87109       87312       17587       11167       -           -           7.300259693740485358     -           
D1           48728       35702       13026       79150       35503       94108       87312       43396       18306       -           -           1.950289522560908991     -           
D18          70236       80730       89173       77547       92807       77296       87312       19602       4437        -           -           18.19472616632860040     -           
D0           56156       9592        46564       95396       90155       92490       87312       15255       16916       -           -           0.567037124615748403     -           
D330         10315       41959       68023       20503       88926       32076       87312       67845       127         -           -           330.3858267716535433     -           
D2           54120       42177       11943       93286       18080       6521        87312       30371       14954       -           -           2.820449378092817975     -           
D28          95452       37381       58071       98698       66481       35634       87312       33032       1318        -           -           28.36191198786039453     -           
D10          25260       35782       89145       30752       22647       20932       87312       41546       3292        -           -           10.86938031591737545     -           
D4           56432       5396        51036       84095       38966       1345        87312       77798       1106        -           -           4.878842676311030741     -           
D6           32646       82342       49971       53346       47219       35432       87312       28826       11946       -           -           6.892851163569395613     -           
D0           57012       1491        55521       66682       24331       822         87312       36240       8662        -           -           0.172131147540983606     -           
D0           62424       4737        57687       98659       66295       6666        87312       66561       26189       -           -           0.180877467639085112     -           
D49          84678       69392       15286       87057       14098       60642       87312       32016       1413        -           -           49.10969568294409058     -           
D4           64291       59138       5153        89480       34808       2843        87312       15332       13913       -           -           4.250557032990728096     -           
D193         22884       74885       47666       30383       85268       70711       87312       5996        387         -           -           193.5012919896640826     -           
D0           38514       7184        31330       61148       46828       20374       87312       52426       15880       -           -           0.452392947103274559     -           
D4           35005       59405       75267       55506       46002       5149        87312       86164       14504       -           -           4.095766685052399338     -           
D45          83729       48462       35267       85041       64402       89753       87312       42621       1073        -           -           45.16495806150978564     -           
D126         30831       84269       46229       60995       40167       3324        87312       81754       667         -           -           126.3403298350824587     -           
D121         36706       91774       44599       38340       16182       29714       87312       78436       758         -           -           121.0738786279683377     -           
D3           84772       17573       67199       90073       37673       5865        87312       50248       5257        -           -           3.342781053832984592     -           
D4           71489       14559       56930       81248       52693       18118       87312       84702       3176        -           -           4.584068010075566750     -           
D0           69744       7454        62290       98243       7247        98209       87312       61105       12746       -           -           0.584810921073277891     -           
D89          38945       48050       90562       40184       27205       88066       87312       44459       536         -           -           89.64552238805970149     -           
D135         39293       67785       71175       41575       39393       17456       87312       35281       499         -           -           135.8416833667334669     -           
D17          34533       88591       45609       63947       77161       76862       87312       55374       5119        -           -           17.30630982613791756     -           
D2           30206       29904       302         40323       42328       84935       87312       8176        9972        -           -           2.998796630565583634     -           
D7           31057       11551       19506       60571       45926       94818       87312       43371       1543        -           -           7.486066104990278677     -           
D2           68143       33859       34284       82127       5696        37722       87312       18746       12207       -           -           2.773736380765134758     -           
D1           60194       12531       47663       69094       75377       11043       87312       96109       6794        -           -           1.844421548425080953     -           
D6           43385       30944       12441       48910       6223        20284       87312       90639       4710        -           -           6.569851380042462845     -           
D411         40584       71681       68570       80994       23889       38954       87312       50285       174         -           -           411.9597701149425287     -           
D4           83043       28475       54568       89442       18080       12761       87312       23678       6255        -           -           4.552358113509192645     -           
D9           25333       86125       38875       41284       42226       5425        87312       86227       9382        -           -           9.179812406736303560     -           
D0           64705       2463        62242       89391       74220       76661       87312       36648       15333       -           -           0.160633926824496184     -           
D13          57764       83384       74047       83596       58396       88322       87312       91360       6100        -           -           13.66950819672131147     -           
D31          65627       41480       24147       76348       64850       62869       87312       3474        1301        -           -           31.88316679477325134     -           
D221         49356       87518       61505       54796       60560       6867        87312       21077       396         -           -           221.0050505050505050     -           
D5           48669       43136       5533        88904       96134       59019       87312       39990       8434        -           -           5.114536400284562485     -           
D8           35279       56971       77975       44867       28041       12065       87312       85569       6515        -           -           8.744589409056024558     -           
D18          39470       77615       61522       74800       79048       9311        87312       36317       4140        -           -           18.74758454106280193     -           
D0           42003       809         41194       52991       22875       46958       87312       44433       9039        -           -           0.089501051001216948     -           
D16          14661       34036       80292       18859       38204       71688       87312       82408       2067        -           -           16.46637639090469279     -           
D13          55013       24473       30540       58816       95205       24468       87312       5199        1771        -           -           13.81874647092038396     -           
D64          22322       32249       89740       29597       20445       71243       87312       13739       497         -           -           64.88732394366197183     -           
D14          47124       19703       27421       54747       91335       99481       87312       47044       1386        -           -           14.21572871572871572     -           
D44          15237       98332       16572       18491       47849       20582       87312       99065       2221        -           -           44.27375056280954525     -           
D5           53531       76494       76704       92034       67596       4062        87312       69262       15028       -           -           5.090098482832046845     -           
D16          34989       59200       75456       40218       43794       94165       87312       70588       3615        -           -           16.37621023513139695     -           
D4           17669       16864       805         24688       81168       14303       87312       77722       3631        -           -           4.644450564582759570     -           
D291         35370       49478       85559       35770       69921       99123       87312       33759       170         -           -           291.0470588235294117     -           
