Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k^{-1}      a           m1          m2          f                        x_recovered 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D11          31808       36924       94551       60335       62889       32461       32768       79157       3281        -           -           11.25388601036269430     -           
D0           51963       4244        47719       98201       71144       60685       32768       13320       5725        -           -           0.741310043668122270     -           
D4           44381       20839       23542       52382       49223       1710        32768       52289       4376        -           -           4.762111517367458866     -           
D23          25755       82145       43277       47978       74915       10878       32768       27873       3532        -           -           23.25736126840317100     -           
D4           46317       52934       93050       57946       98333       7129        32768       24765       11430       -           -           4.631146106736657917     -           
D6           31586       99512       31741       47941       79771       72168       32768       21315       15231       -           -           6.533517168931783861     -           
D1           59723       24933       34790       94925       62731       34318       32768       17590       24521       -           -           1.016801924880714489     -           
D25          26123       95142       30648       31726       91154       78051       32768       77505       3711        -           -           25.63783346806790622     -           
D0           33155       8408        24747       54068       13718       7807        32768       85006       12242       -           -           0.686815879758209442     -           
D121         19172       32406       86433       19446       13619       10547       32768       70777       266         -           -           121.8270676691729323     -           
D1           49413       26326       23087       76902       93942       47966       32768       83176       21924       -           -           1.200784528370735267     -           
D12          52806       38580       14226       57770       91540       23159       32768       51282       3166        -           -           12.18572331017056222     -           
D7           24386       48011       76042       33558       37385       23584       32768       59111       6042        -           -           7.946209864283349884     -           
D12          40750       96612       43805       49079       26734       58574       32768       18152       7434        -           -           12.99596448748991121     -           
D5           56557       84674       71550       76890       86834       11667       32768       34127       15891       -           -           5.328424894594424517     -           
D0           33794       105         33689       36713       96516       60845       32768       10691       1685        -           -           0.062314540059347181     -           
D4           42552       82379       59840       68369       98441       42949       32768       89438       16735       -           -           4.922557514191813564     -           
D244         98339       96758       1581        98955       92622       74188       32768       27064       395         -           -           244.9569620253164557     -           
D125         54653       72190       82130       55882       29599       30499       32768       87544       577         -           -           125.1126516464471403     -           
D9           41455       49811       91311       77464       49986       82529       32768       83328       5446        -           -           9.146345941975762027     -           
D0           75479       386         75093       98951       64711       422         32768       48214       5063        -           -           0.076239383764566462     -           
D9           26421       37841       88247       48979       62213       57347       32768       64596       3863        -           -           9.795754594874449909     -           
D7           51702       74467       76902       72334       12895       879         98306       72845       10438       -           -           7.134221115156160183     -           
D100         24282       74272       49677       47828       54263       44551       98306       14811       736         -           -           100.9130434782608695     -           
D1           36863       5768        31095       52783       77828       14460       98306       73220       5023        -           -           1.148317738403344614     -           
D293         10685       27307       83045       12009       18460       34301       98306       53231       93          -           -           293.6236559139784946     -           
D4           37032       48589       88110       50661       115         41174       98306       46356       9774        -           -           4.971250255780642521     -           
D8           19511       46587       72591       33524       28883       88757       98306       47480       5498        -           -           8.473444889050563841     -           
D13          35084       49248       85503       66498       25639       16341       98306       19629       3670        -           -           13.41907356948228882     -           
D3           52839       17878       34961       62303       60625       26249       98306       99447       5519        -           -           3.239354955607899981     -           
D20          68116       72207       95576       72157       77824       63585       98306       8908        3460        -           -           20.86907514450867052     -           
D13          36365       39936       96096       69780       65671       36410       98306       50061       2950        -           -           13.53762711864406779     -           
D8           79522       11017       68505       81221       1672        50657       98306       90911       1368        -           -           8.053362573099415204     -           
D0           65369       29720       35649       98237       34545       12608       98306       66936       32501       -           -           0.914433402049167717     -           
D23          50105       90327       59445       65498       56709       53978       98306       55279       3926        -           -           23.00738665308201732     -           
D59          13190       86045       26812       15537       90993       81522       98306       60004       1455        -           -           59.13745704467353951     -           
D17          44914       90190       54391       84676       19072       10477       98306       18431       5152        -           -           17.50582298136645962     -           
D22          44106       27928       16178       49465       39344       99458       98306       32203       1234        -           -           22.63209076175040518     -           
D11          49787       8445        41342       98815       34090       35072       98306       41209       759         -           -           11.12648221343873517     -           
D22          81942       63237       18705       86885       67299       36772       98306       74659       2854        -           -           22.15732305536089698     -           
D0           47504       5560        41944       73992       36385       10696       98306       9834        21016       -           -           0.264560334982870194     -           
D4           60712       90274       70105       81000       78922       74368       98306       78581       20136       -           -           4.483214143822010329     -           
D2           63276       72240       90703       96317       13092       34364       65541       88436       30235       -           -           2.389283942450802050     -           
D46          3218        29933       72952       5791        73354       34741       65541       67720       645         -           -           46.40775193798449612     -           
D17          45748       34749       10999       56701       1101        58349       65541       3562        1936        -           -           17.94886363636363636     -           
D17          20232       69266       50633       28358       56767       31535       65541       26711       3980        -           -           17.40351758793969849     -           
D4           37287       67672       69282       57719       8274        42878       65541       31255       16855       -           -           4.014951053099970335     -           
D25          54099       92618       61148       64205       46450       23679       65541       68548       3569        -           -           25.95068646679742224     -           
D1455        17935       80077       37525       18531       26773       20185       65541       31601       55          -           -           1455.945454545454545     -           
D182         30367       11651       18716       31144       2956        49372       65541       32743       64          -           -           182.046875               -           
D51          57357       89268       67756       59885       21004       60195       65541       18814       1741        -           -           51.27398047099368179     -           
D226         32591       77396       54862       34488       9886        93682       65541       61163       342         -           -           226.3040935672514619     -           
D1           54429       25995       28434       87325       59822       16807       65541       56055       21533       -           -           1.207216829981888264     -           
D2           27183       27816       99034       40861       79183       57018       65541       44081       13505       -           -           2.059681599407626804     -           
D7           49496       91211       57952       86239       12867       68109       65541       89829       12753       -           -           7.152121069552262212     -           
D4           82723       50047       32676       94634       60710       92015       65541       28187       11257       -           -           4.445855911877054277     -           
D4           53731       75373       78025       72189       86572       97127       65541       4363        16815       -           -           4.482485875706214689     -           
D5           34815       90620       43862       52780       10119       7087        65541       89137       16850       -           -           5.378041543026706231     -           
D6           43840       68782       74725       55124       67962       96638       65541       74708       9988        -           -           6.886463756507809371     -           
D12          71371       64830       6541        82418       91072       76338       65541       89571       5089        -           -           12.73924150127726468     -           
D2           10336       7110        3226        18298       84484       62216       65541       92577       2374        -           -           2.994945240101095198     -           
D2           56814       63590       92891       88820       22821       51735       65541       4868        24808       -           -           2.563286036762334730     -           
D448         19164       99041       19790       20161       31564       30519       65541       21857       221         -           -           448.1493212669683257     -           
D58          5177        62432       42412       7230        33094       69840       65541       85719       1071        -           -           58.29318394024276377     -           
D4           73581       54971       18610       94369       86067       68199       65541       96094       11217       -           -           4.900686458054738343     -           
D17          38425       82672       55420       72035       21702       55256       65541       60965       4815        -           -           17.16967808930425752     -           
D4           55057       69574       85150       74966       30075       33480       65541       83938       15239       -           -           4.565522672091344576     -           
D62          35797       71132       64332       53126       61017       67504       65541       79412       1139        -           -           62.45127304653204565     -           
D18          59356       68930       90093       77886       79437       44228       32775       76114       3766        -           -           18.30323951141795008     -           
D9           45064       44354       710         65179       596         29374       32775       92049       4834        -           -           9.175424079437318990     -           
D10          78811       99198       79280       96204       88250       1851        32775       70763       9239        -           -           10.73687628531226323     -           
D3           48224       72125       75766       75117       46196       49669       32775       34230       21331       -           -           3.381229196943415686     -           
D52          6440        21644       84463       9455        78949       62283       32775       85590       410         -           -           52.79024390243902439     -           
D2           53847       17228       36619       77805       41036       76462       32775       1856        5931        -           -           2.904737818243129320     -           
D302         44452       26890       17562       88815       33534       49319       32775       7015        89          -           -           302.1348314606741573     -           
D143         40955       79454       61168       54422       59547       50642       32775       68965       554         -           -           143.4187725631768953     -           
D15          33730       99441       33956       40539       92961       18022       32775       33262       6494        -           -           15.31275023098244533     -           
D3           53329       66834       86162       86361       92069       71571       32775       42938       20297       -           -           3.292801891905207666     -           
D0           79345       1731        77614       97501       43517       54674       32775       93797       6721        -           -           0.257550959678619253     -           
D1411        52567       80430       71804       78822       94792       50400       32775       49357       57          -           -           1411.052631578947368     -           
D60          59834       68910       90591       74508       34362       24523       32775       66029       1138        -           -           60.55360281195079086     -           
D66          30078       49780       79965       33011       59677       69143       32775       96027       748         -           -           66.55080213903743315     -           
D7           45996       86585       59078       79902       42521       77760       32775       7723        12090       -           -           7.161703887510339123     -           
D3           66054       48960       17094       83887       38408       91124       32775       26885       12555       -           -           3.899641577060931899     -           
D1           31199       12694       18505       39272       49403       95177       32775       43611       6980        -           -           1.818624641833810888     -           
D16          43995       75537       68125       63754       10996       47954       32775       81120       4477        -           -           16.87223587223587223     -           
D8           29029       40106       88590       53374       98406       42164       32775       61855       4684        -           -           8.562339880444064901     -           
D27          85215       39418       45797       91198       51054       28656       32775       34289       1453        -           -           27.12869924294562973     -           
D2           61129       70773       90023       97987       43437       48708       32775       98760       24271       -           -           2.915949075027810967     -           
D35          51963       52020       99610       53983       40278       91218       32775       66248       1463        -           -           35.55707450444292549     -           
D33          30717       27930       2787        60608       19079       71973       32775       2347        826         -           -           33.81355932203389830     -           
D98          7459        74018       33108       14163       25336       76879       32775       73337       755         -           -           98.03708609271523178     -           
D66          40392       54109       85950       41858       60090       8536        32775       89605       810         -           -           66.80123456790123456     -           
D5           24415       39423       84659       32862       31913       68940       32776       41760       7521        -           -           5.241723175109692860     -           
D40          45906       38040       7866        90871       12077       93320       32776       74087       941         -           -           40.42507970244420828     -           
D29          62510       17130       45380       65325       26955       4384        32776       22685       580         -           -           29.53448275862068965     -           
D1           74396       13810       60586       96538       58747       6949        32776       82885       7970        -           -           1.732747804265997490     -           
D47          38777       67965       70479       40743       87554       75761       32776       21840       1423        -           -           47.76177090653548840     -           
D0           47765       1702        46063       53456       52532       19004       32776       62401       2237        -           -           0.760840411265087170     -           
D265         4206        33462       70411       4446        60927       82476       32776       85686       126         -           -           265.5714285714285714     -           
D8           33958       90531       43094       45466       15155       53812       32776       58287       10942       -           -           8.273715956863461890     -           
D13          85552       37165       48387       91459       12184       63281       32776       38687       2854        -           -           13.02207428170988086     -           
D82          87681       46266       41415       95601       62406       86095       32776       34028       561         -           -           82.47058823529411764     -           
D21          87726       97629       89764       96972       14724       84159       32776       39382       4512        -           -           21.63763297872340425     -           
D415         37610       85132       52145       45091       26172       85133       32776       19501       205         -           -           415.2780487804878048     -           
D14          33507       59415       73759       62911       25691       79345       32776       12692       4103        -           -           14.48086765781135754     -           
D2242        8668        69505       38830       17305       62075       76322       32776       53965       31          -           -           2242.096774193548387     -           
D5           35641       94795       40513       53803       82228       43518       32776       10099       17479       -           -           5.423365181074432175     -           
D12          22786       81679       40774       38830       21909       42195       32776       25397       6742        -           -           12.11495105309997033     -           
D51          93722       80607       13115       95494       25721       51176       32776       27054       1578        -           -           51.08174904942965779     -           
D1           44722       4951        39771       51493       51109       5432        32776       9029        4096        -           -           1.208740234375           -           
D88          57099       62845       93921       58163       73366       1722        32776       39825       707         -           -           88.88967468175388967     -           
D7           17554       49362       67859       28392       7005        74829       32776       98735       6716        -           -           7.349910661107802263     -           
D1           47262       22871       24391       76291       82703       88905       32776       27712       18233       -           -           1.254373937366313826     -           
D8           53100       72466       80301       97862       50986       2809        32776       52988       8338        -           -           8.691053010314224034     -           
D3           46346       38139       8207        80066       18929       73708       32776       27171       12626       -           -           3.020671629969903374     -           
D5           28162       48727       79102       46993       28094       9300        32776       1921        9331        -           -           5.222055513878469617     -           
D1968        2577        64950       37294       5121        56574       3409        32776       12992       33          -           -           1968.181818181818181     -           
D4           34914       47520       87061       59918       16593       87225       32776       21158       9910        -           -           4.795156407669021190     -           
D8           36641       16260       20381       39319       87390       58602       32776       85126       1827        -           -           8.899835796387520525     -           
D10          64774       67803       96638       76453       88901       7760        32776       83210       6379        -           -           10.62909546950932748     -           
D0           50430       951         49479       80878       73115       98170       32776       28036       19982       -           -           0.047592833550195175     -           
D55          11627       89653       21641       21647       26935       11912       32776       32847       1607        -           -           55.78904791537025513     -           
D9           77897       83869       93695       89345       55931       66255       65554       42929       9209        -           -           9.107286350309479856     -           
D2           33334       28800       4534        55757       60698       40071       65554       70525       10911       -           -           2.639538080835853725     -           
D12          25243       83923       40987       43861       16819       59196       65554       85924       6625        -           -           12.66762264150943396     -           
D18          54467       95657       58477       59940       97658       3046        65554       22277       5210        -           -           18.36026871401151631     -           
D2           58850       39879       18971       80809       74638       168         65554       96870       14932       -           -           2.670707206000535762     -           
D1           54263       11128       43135       65274       10546       49301       65554       10170       10219       -           -           1.088951952245816616     -           
D22          58389       46660       11729       62410       15339       1557        65554       92958       2095        -           -           22.27207637231503580     -           
D0           43535       12939       30596       72850       67538       81198       65554       14263       14220       -           -           0.909915611814345991     -           
D3           67515       71704       95478       92120       54148       80180       65554       47696       18305       -           -           3.917181098060639169     -           
D7           30170       5533        24637       33849       47624       77729       65554       87598       738         -           -           7.497289972899728997     -           
D12          19020       71845       46842       32251       23433       82298       65554       88871       5789        -           -           12.41060632233546381     -           
D17          17977       24022       93622       26266       23152       7793        65554       65358       1399        -           -           17.17083631165117941     -           
D102         78785       54289       24496       87480       21372       49250       65554       9931        530         -           -           102.4320754716981132     -           
D91          25645       75862       49450       28747       54434       38753       65554       93260       829         -           -           91.51025331724969843     -           
D10          58078       8927        49151       59762       22156       58941       65554       45286       822         -           -           10.86009732360097323     -           
D11          20986       70458       50195       35577       84719       82989       65554       78126       6395        -           -           11.01767005473025801     -           
D5           49731       54993       94405       89847       95923       24174       65554       47982       9615        -           -           5.719500780031201248     -           
D1           67214       37622       29592       89643       11905       51754       65554       4097        22356       -           -           1.682859187690105564     -           
D9           67422       63929       3493        82562       81979       44566       65554       96615       6862        -           -           9.316380064121247449     -           
D4           52395       88675       63387       84099       13429       63930       65554       43090       20691       -           -           4.285679764148663670     -           
D3           50230       35847       14383       70517       7496        9064        65554       18340       9656        -           -           3.712406793703396851     -           
D3           40330       54540       85457       66198       70721       88068       65554       27165       14462       -           -           3.771262619278108145     -           
D26          48361       80799       67229       93633       24287       52039       65554       50635       3089        -           -           26.15700874069278083     -           
D14          43563       32168       11395       64272       68323       40750       65554       3077        2145        -           -           14.99673659673659673     -           
D5           76689       10769       65920       80832       30177       29123       65554       63892       2115        -           -           5.091725768321513002     -           
D9           55762       62726       92703       72107       29587       69005       65554       20618       6727        -           -           9.324513155938754273     -           
D3           35740       11192       24548       68388       85294       23565       65554       9208        3092        -           -           3.619663648124191461     -           
D2           27926       14131       13795       35098       31077       89399       32790       71089       6410        -           -           2.204524180967238689     -           
D11          76431       90094       86004       86251       47779       79614       32790       39202       7691        -           -           11.71421141594070992     -           
D0           49468       9809        39659       88894       75958       51114       32790       24373       10042       -           -           0.976797450707030472     -           
D2           66115       21383       44732       77601       21588       77053       32790       3856        8685        -           -           2.462061024755325273     -           
D71          18179       86396       31450       26663       71596       1998        32790       88849       1211        -           -           71.34269199009083402     -           
D12          65812       49407       16405       71438       18316       31728       32790       74655       3926        -           -           12.58456444218033622     -           
D8           71868       64781       7087        87834       42135       29778       32790       58101       8004        -           -           8.093578210894552723     -           
D3           64889       17502       47387       94550       89951       93564       32790       19550       5567        -           -           3.143883599784444045     -           
D71          28124       22544       5580        29051       92185       90858       32790       46780       314         -           -           71.79617834394904458     -           
D12          44894       37571       7323        53252       22907       75043       32790       10222       3104        -           -           12.10405927835051546     -           
D1           45986       39410       6576        71555       25468       19566       32790       50696       20417       -           -           1.930254199931429690     -           
D583         69202       73528       95341       74136       90518       42227       32790       91042       126         -           -           583.5555555555555555     -           
D1           58253       8455        49798       83354       69798       63570       32790       57316       8051        -           -           1.050180101850701776     -           
D0           68101       8487        59614       93749       12571       3266        32790       40451       16805       -           -           0.505028265397203213     -           
D2           53375       20776       32599       97206       86019       6317        32790       68410       9544        -           -           2.176865046102263202     -           
D13          13505       42810       70362       23861       3822        14114       32790       2984        3149        -           -           13.59479199745951095     -           
D14          90647       45100       45547       97378       63772       95802       32790       59127       3144        -           -           14.34478371501272264     -           
D1           92840       7754        85086       99642       60463       92419       32790       51379       4414        -           -           1.756683280471227911     -           
D27          93289       39517       53772       94929       54545       59484       32790       87533       1449        -           -           27.27191166321601104     -           
D17          53782       75356       78093       58729       67158       64307       32790       80957       4312        -           -           17.47588126159554731     -           
D1           49157       34847       14310       74930       71371       15263       32790       97570       23384       -           -           1.490206979131029763     -           
D3           47402       89724       57345       72187       19730       89512       98329       11613       22617       -           -           3.967104390502719193     -           
D8           60055       46774       13281       66842       11334       50112       98329       79692       5759        -           -           8.121896162528216704     -           
D4           20519       24912       95274       28206       63559       75768       98329       23351       5145        -           -           4.841982507288629737     -           
D9           78301       34207       44094       93229       76427       50803       98329       44690       3661        -           -           9.343621961212783392     -           
D55          80015       81270       98412       83942       68274       64735       98329       82168       1475        -           -           55.09830508474576271     -           
D136         17426       74662       42431       18419       80553       27974       98329       29186       545         -           -           136.9944954128440367     -           
D7           29437       84387       44717       48321       64902       74159       98329       66512       10553       -           -           7.996493887993935373     -           
D48          77761       75381       2380        86230       28671       78246       98329       32342       1540        -           -           48.94870129870129870     -           
D66          83849       95180       88336       90717       44426       7282        98329       49286       1433        -           -           66.42009769713886950     -           
D3           60489       76133       84023       80947       46088       47264       98329       51922       19573       -           -           3.889694987993664742     -           
D4           52480       54309       97838       93884       3953        17572       98329       48221       11076       -           -           4.903304442036836403     -           
D11          66771       76229       90209       74307       69201       75865       98329       15998       6483        -           -           11.75829091469998457     -           
D4           50503       25847       24656       58020       60004       92127       98329       70060       5401        -           -           4.785595260137011664     -           
