Elliptic curve parameters:
name = secp256k1
mode = legacy
p = 115792089237316195423570985008687907853269984665640564039457584007908834671663
a = 0
b = 7
g = (55066263022277343669578718895168534326250603453777594175500187360389116729240, 32670510020758816978083085130507043184471273380659243275938904335757337482424)
n = 115792089237316195423570985008687907852837564279074904382605163141518161494337

Using legacy P2PKH preimage for signing.

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case                                                                             s                                                                               s_zk                                                                            s_rxk                                                                           s_zr                                                                            z                                                                               r                                                                               x                                                                               k^{-1}                                                                          a                                                                               m1                                                                              m2                                                                              f                                                                                    x_recovered                                                                     
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D2                                                                               56222409795938081542660971520724562107164000542276128023596248923901071490834   12653177515728949751440925332257221290506920697339902905812672502451776637626   43569232280209131791220046188467340816657079844936225117783576421449294853208   73338303727482038136188119057374982602112487272689588448024222937404990016770   70183139669849748980961642428971690468431052336977928640955893359490532914298   35906908912473768536464508627715091135163296557832386604984052676669323438805   60770101788761145630203005333848831137143144766148387828790401787089535951452   2851344008998321968270053547651415684061776421035917582352746031952000685150    4874728001306211762079528910773300622318540351035746750312326883389315913026    -                                                                               -                                                                               2.595668417261118391499197079724861636989133911940870165845954786353263424936214     -                                                                               
D12                                                                              33493636057310432610572752412396820100888389749405421177570854612472068514327   112812938258751714300789437521441377162328923404293120085672372099965355835616  36472787035874913733354299899643350791397030624187205474503645654024874173048   57994953819095890867973723825441738840009231148164372111347451936114564651731   91321437878323444522697484030920966568653861563453900910364518331421134551961   8307845046400854456410992992923954667878658801318603053035717883230979585021    60770101788761145630203005333848831137143144766148387828790401787089535951452   28711992080074153018283453309947080539754248934072389358701207078950002094980   8992318295524974353171780999351901361767548350646470243794257288829572376923    -                                                                               -                                                                               12.54547876879458921542892144454715455393077446817750994945887056544713395124410     -                                                                               
D11                                                                              76074747013958951907317106128383010063185859574348271444547530940880572888120   58595792763682251610519194972468061292693729858156668489935432988139087697944   17478954250276700296797911155914948770492129716191602954612097952741485190176   83157493221905948269075820937636237317803443505212557929794492475169759724997   60364123486295726960760682784483137390189238824462738277680759736555058676358   36325550285752339529239023477023271663234124590207137074455870990903795202206   60770101788761145630203005333848831137143144766148387828790401787089535951452   62586825250168555724987226085247406545662052846929854532442746541603461348404   5247284934488988289729958035850737517010020265705406592077915597988704519350    -                                                                               -                                                                               11.16687839430024343382986927467443404209790759645773110546737530734271773638074     -                                                                               
D34                                                                              85125959590970968586268044508696012167860256994902810544369126895355216801117   114091536971843119473327129732170865070800608007612312811152894131373490902065  86826511856444044536511899785213054949897213266365402115821395905499887393389   96808900747610849924906203434737838911006240344685397713534706345576431439121   74582726614869392893639161346132884195574276600214869498846290602522895753052   74944322391938928225721443785838510431350478218703333409763363341033146772617   60770101788761145630203005333848831137143144766148387828790401787089535951452   58874159841777156302339584670772888803102059372181021057969328334398827785322   3345371494491799215800932026403224965838373546424700360210070743806714335089    -                                                                               -                                                                               34.10429519104124160475959081090631667075198251570355067897292064068065520865178     -                                                                               
D2                                                                               35561554517916503316103568532706215099242018646666499302568324007952173783927   45601768308151554251811420087914041312534846869697510910829405736827680984393   105751875447081144487863133453480081639544736056043892774344081412642654293871  55650260221708973235346165669481725091767649985866009620065926530206089779237   53424894465792716394407652235924997472036960673811084943165850033348228705119   63497537563196640962294384673634017201853439226310647083536860938911012695391   53399408896347858013431106764281482420730754877484749607710245795302643400578   2877926172788746108203066993774985293178503560297377102048470011806309239949    15472848814124033396860971395930705106716387307466988985070721485698257788617   -                                                                               -                                                                               2.947212168616617720366740926853172190190769030245008703194258201582508480860393     -                                                                               
D83                                                                              42624972705144336073127818783331837011240937382233048756672162462984563731755   104121638399824775528818662701621521341241810791584920307248890151054226152337  54295423542635755967880141090398223522836690869723032832028435453448499073755   84005361924263122599823886590638005744724573553853590584427097759699960542070   78892712728584909448906793916374641823710606529719453039055317644090407156219   9378232242730330776413159460530537323774027080531325335311950477861494992733    53399408896347858013431106764281482420730754877484749607710245795302643400578   7536279119870825049196333467999092248573632129861321968529351208388969740236    1244583486025549546431750976025668277757301210612506928917227166269166921440    -                                                                               -                                                                               83.65982641496120968887529050635536833029048314035665391164600966994234341748432     -                                                                               
D3                                                                               83675031773101211310321364637918298645645466539689942625663782536798335402354   66454194206747171204941764792268814097094178605621706660394908620112205109701   17220837566354040105379599845649484548551287934068235965268873916686130292653   114915358139753474200066192261157863769958733563699569887150241939284263656506  78517625999721895385426262497666549727828269670468806056185047813208595961284   59742979417773147363669066167205042986507817871363627702771884666025588002778   17404825449060763582267679140615714256393146445979021096619943733943868142368   80643298648625446332536118599118054448537835368774254415405873555863048938403   21194379039796685530831709391439168397018932491670688102690863731826478894050   -                                                                               -                                                                               3.135463137748274234336322316875059373093154208314269871560457964135248968349857     -                                                                               
D13                                                                              98069803989464002519619104011588356391498952606323352933335231385414236950032   74014710768964271289373128485378470570981922565514782196362360966966154962212   24055093220499731230245975526209885820517030040808570736972870418448081987820   105199835822474071492727916067417186661794710202640102814435167401363400925504  95407993055222434830730427606974172328283831018490852319488800215858978586829   101786609615766627381241221397164212542232139589647853801885566019293355390563  17404825449060763582267679140615714256393146445979021096619943733943868142368   80405203039649136376918365888174593915393021084412208872282754870345152420095   5379390160333105869204547285813562877654103854205604479036063178075105268896    -                                                                               -                                                                               13.75894080238661985321775251349347201649765304074507598746644901953076194739021     -                                                                               
D3                                                                               30037363611750206855866737771362115806112052983914993506327189316994404014695   31340792077057519664130553203854406508638185728310758850062528057567334595114   114488660772008882615307169576195617150311431534679139038869824400945230913918  51885704202105701103916375881795559688394093618579486216495512355974533035382   5943076834327169345276796955641600894685545295777286258195841709750977659888    4485139459410023174967059421895329363144759357974793654213477696557850395742    17404825449060763582267679140615714256393146445979021096619943733943868142368   10482367358101825411502886624121254628238949610734017649910976793549906910574   8189023021394712607817099660928671923830012349250500796158866278014274994008    -                                                                               -                                                                               3.827171079526372598625585688019586607069749727292763641383538858394797947515985     -                                                                               
