Elliptic curve parameters:
name = secp256k1
mode = legacy
p = 115792089237316195423570985008687907853269984665640564039457584007908834671663
a = 0
b = 7
g = (55066263022277343669578718895168534326250603453777594175500187360389116729240, 32670510020758816978083085130507043184471273380659243275938904335757337482424)
n = 115792089237316195423570985008687907852837564279074904382605163141518161494337

Using legacy P2PKH preimage for signing.

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case                                                                             s                                                                               s_zk                                                                            s_rxk                                                                           s_zr                                                                            z                                                                               r                                                                               x                                                                               k^{-1}                                                                          a                                                                               m1                                                                              m2                                                                              f                                                                                    x_recovered                                                                     hypothesis  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D133                                                                             35751082657895200973881308343613956500066174975545579167368495052708933619883   94340555116894055487156874073937774215227246527628077968933980121096260564808   57202616778317340910295419278364090137676492726992405581039678073130834549412   53273563633366823833591029899394101933793917097403435629771584648479517051803   87989230104328039988640542200465400426182871398183653466329756255732229644111   112241758194790731027449206426591493087710271527933008734182211368775774293072  21921785638193176010696371720323431494145297545042418118942200436020147151170   64689804669868801427785603855332246507457498015847104567866001641346409266871   706120706951955254461865232053665632610690731829866242562315861167766756043     -                                                                               -                                                                               133.6040059271523755991514341216622218816788198226715206879776350300520802782842     -                                                                               -           
D1                                                                               70656710588430793608232965366852588784589102621743460732149295968480278734239   61199554238496133418773870990716829117534796947733699514992990920006569436304   9457156349934660189459094376135759667054305674009761217156305048473709297935    109460320608743272126115545091938366340371510583773200643617422250386899950612  32081483727498131622445752755745477205089407814998590808670254886673540128641   22794702083862051171173191276502264816843003203306381192399925605961457642063   21921785638193176010696371720323431494145297545042418118942200436020147151170   20905966293423279813043225810302157658823841801505211700874289227974344889758   31853100568118315090350385641766811228806694659713720820681169686573657517866   -                                                                               -                                                                               1.921306031342851657117990380409040836379110567749482762591520219710137491170997     -                                                                               -           
D2                                                                               50407947276221906984241345352871106811857636202642802761638090622731949796258   35535005690848743746341728146377940603073094627873783867633294633318214110437   14872941585373163237899617206493166208784541574769018894004795989413735685821   88358598810679967871058119178039972083604408817690580685007869505730910405333   29047361150495271664966534198724772428990133127791930094066418240516319911926   50968176084009554353955294690718672636534338821762792210256016700827641664388   21921785638193176010696371720323431494145297545042418118942200436020147151170   35599410460598259200838857303904543136371798950317162199641193203066722050985   12457295741763846097424571527702241540110863587595024838268311739732989187183   -                                                                               -                                                                               2.852545723203428748713660089713883785974121854218163931952697677281873592903608     -                                                                               -           
D1                                                                               34524746014439937993194888619161650550841256279846777165739180893502807395847   2774227067941855190368468285146484670574146201965920943794429764819163584715    31750518946498082802826420334015165880267110077880856221944751128683643811132   38511049333144084856551694949773429567703810470382183113109823225420589460323   90106416922973009924345219172820083906676455901633249272183424030314680331288   43049478306231124885700192113195259349595668941637068314878319477551827748292   67841939301602787250637302010722131407622782125197914472711948894747394307158   64038983505405798245538199652530163573148826336793889292505856125319366320223   2634319464806763086340437974267418415940822755563529586774042238160550880039    -                                                                               -                                                                               1.053109581052788081477590810214042897567797272108448107779454566438171592530890     -                                                                               -           
D45                                                                              56168074840111728934760792297217285827778369885181071842077960507083281280269   80657685050826369150749149931053194088823643766571680982445345521092579107438   91302479026601555207582627374851999591792290397684295242237778127508863667168   110560375238398199200098201102364354582949798319767489928657036149383094586234  12970750868041263746042556640443276860730367604752710879760582839537002266283   65837867779643968491674152682988576818293368056888443653228157716355054778490   70481840042152822608135375841217627082464229130808639891303519194287525847153   75085693511205268646921756588515303117949761261686038110205461647113628728868   1775774441825258669423383492070217072606941450594653755498884864783467974304    -                                                                               -                                                                               45.42113184595733592938357222163727910374477609788093746713264100349592359934709     -                                                                               HYP-005     
D8                                                                               72439002490837585175881102486199016002102555068396305419528222580716226394693   112088315798621071328478234997515095128974830890437779140363846304107954891334  76142775929532709270973852497371828725965288457033430661769539418126432997696   101832884010278607291195884258794968725925113234598321012538265942492435105853  45534059680553506318637540262423604430268314626166613499712989813825716656657   3816068153008717493465597375765446398631933950732024746018412977133087141388    70481840042152822608135375841217627082464229130808639891303519194287525847153   108733734892350668502060752758934592190618721813226265699710464929385355924867  13651239451955540945251538941007110554457438735992274233508135857163808972373   -                                                                               -                                                                               8.210852662361322271861772941583937675548779355317124592577232943147548366704438     -                                                                               -           
D73                                                                              37643245082355024383240247761267323833432969824624689228114340639495389155411   99509207158900668599711654035571590080590195788029232514516866683259102975001   53926127160770551207099578734383641605680338315670361096202637097754447674747   39777908702448622683175489831714558871661629612978802975623437027559127096202   66752618282612539980047581099607576050104592980422507134185792625705219004895   2249053287295518193797484751218389639718286501108807989757464679693419442719    70481840042152822608135375841217627082464229130808639891303519194287525847153   108060375463771402378759246773452211060096559869500333315412639865739107863557  1353963540763853284341132563664328183545753422604755520459702042411844161964    -                                                                               -                                                                               73.49474647061874733075209920026971776566428157982124830660274592781434880520857     -                                                                               -           
D45                                                                              51580994817923317284817774460182427648728864362969800602157887991155833303133   78255098701449525473673605482364682455072101293179494253436993887170870676776   89117985353789987234715153986505653046494327348865210731326057245503124120694   68195909849703592294447343306240535558377669932072838575856273762322061832765   13530619682574265606039746140039591065736795361656257615920534210667169358836   91803559133178310203041239568644261470743173876592111952573471499553235734531   70481840042152822608135375841217627082464229130808639891303519194287525847153   11081771267192955570387687410919324572117234192004517031326451870284205910093   1736249722582492255929067922008103919782447655660686681062730677657147714237    -                                                                               -                                                                               45.07133834702829684436994003128802395694929755295423222066814966947191788958239     -                                                                               -           
D6                                                                               54036284497916408508566442082005807061834628610594942611044819556809292961092   87455038374429876109666201286508816650445774579669843245014410145910324700559   82373335360802727822471225804184898264226418310000003748635572552417129754870   74049975476182526506217473898032784626583546626978437082254371131952247918420   24600539920415660397806999717871610856343792745413126105372919756972127705066   64041800514260901188796785490159229063811142987862202394015773023740412480655   74603730380009109993970336470382438803701983384543242514616154593705186284333   22201638721882997198488148761781752075887733566525347169353689246858261368828   14008902541384172513264378449951851932336792577827953668625716406523383046436   -                                                                               -                                                                               6.242818673059933936632486587754659509355466038446272419657643669012699803455174     -                                                                               -           
D102                                                                             29147762233569796971261733948234690555405477435071136330250838238114411974399   68503440101635308752544976986858419707862998444977176519765047346109131398270   76436411369250683642287741970064178700380043269168864193090954033523442070466   31736677016999694865125794933156780141901330309672041802566153628975807117173   71249105832081084892698747603121799853499085537634508462781346583007039979825   49255566540835523693719762322410780720173455726303180354483053390031843128001   74603730380009109993970336470382438803701983384543242514616154593705186284333   41360955399201786493057910133548631796731378118954724912028974086005034759781   669699615840920138757063114091705103951095814461176134782368938639065403885     -                                                                               -                                                                               102.2898005034955194348039462324699419491822310144617751712077135838178290105409     -                                                                               -           
D14                                                                              95203831361011453751870210870929635607743543265556831684454275595192380332359   55821189400775835862125268004024228757979770887534628744789882099126886139918   39382641960235617889744942866905406849763772378022202939664393496065494192441   108236485544609913225308095744454334020743747015945797767842187028219490956323  99505576949022517364527922750164984012848205468194810939999200250684028655085   17398642222536300057730982712585421948407955928497538752012658092706229710061   8110595542913155957763132611867298983672257838154733675180943436056465278242    29832829761791608490016043595519885828489460013235948582104489739236426723043   3975252075822237437805016756256746716742117012834069100738895564002605964611    -                                                                               -                                                                               14.04217602709630257205728887743050094432284606232111761033507343185381276352829     -                                                                               -           
D12                                                                              48775788099907595475120674353708907330242936015195653264067610313748463349093   103393114128458835010448029527868414545849652958890298863316792881061542772998  61174763208764955888243629834528400637230847335380258783355980574205082070432   89184899554503973308171478149784295970426251171272064387435883512547255985772   88825134929678588290319773029689278543497345334033224854031983953120515473370   35612949444339142879291985481352326424163672065659835220786507743714501630491   8110595542913155957763132611867298983672257838154733675180943436056465278242    109519199281460493406102524449409673063350278173682658168238291970466119923770  8366676645311217642069870557633518690059620859119242140699337114949670712414    -                                                                               -                                                                               12.35772798586659040715750986087226703849733477042657205733745234018445264540129     -                                                                               HYP-005     
D5                                                                               16946193022709665816967742273656046131672552272064788347410884414639601976786   29850201357370550499304859077776946081030704716091941481679710914868853655805   102888080902655310741233868204567007903479411835047751248336336641288909815318  22715348192174984042334260114934384432657896404800132191547602581787907541859   21551638112409840559503959910312046788480797505055201022039454734145935526190   54675013021592108301344234159675919045629968237797756212100892482238063266369   6828762397740239189636262383511765621879560848219140538914823482602767616812    69201034045005140746023980442572672023330519599392689237524870018948783696155   5407882683779029366234706591099369529701864006594100659137448080342990846640    -                                                                               -                                                                               5.519757565545268922996142833021526415928223599745089892479881152696166109826289     -                                                                               -           
D3                                                                               51109247298547990453604724552985348677580167785632214414588442369446408629807   24302907946527325732187075601824019376897281705900249026394004010989658547009   26806339352020664721417648951161329300682886079731965388194438358456750082798   59758605639621122022831745394148806543077693066610769975393090808802370149998   31613547911235293788197466834688011603058445496518075946771417161589779798012   105213266116949454632548264547532831681194095422053914542881649698439039073883  12367758248064376992176730937069410548742871512494157959324757205749462938856   39987947943107969279661513364088733521098766965379706000906480666954495975779   7862455593182332607469620347168059350092541380739436610565200172666601028852    -                                                                               -                                                                               3.091007339691786072798406675938260904213926358409022349821563225081988158184154     -                                                                               -           
D18                                                                              33356164059111236693036776361144573129945358386055311467876771319279170664196   50703480208690632133514837300418331269553180858047974554907114537123320289646   98444773087736799983092924069414149713229741807082241295574819923674011868887   63958210333250590291636200760621229306323304787766417609474655572444886601019   20747354946027789081707595457010816396418770621209960924087256303973037860962   97946257801853756011727558264398229671953695586128474290667126299545693553690   12367758248064376992176730937069410548742871512494157959324757205749462938856   93418067312518744606962354255236264696437860049425746795952582843278085296157   2754117784971883094437351961667916953567411984344205326278887066113454727373    -                                                                               -                                                                               18.41006237473182945903224397881309077169054180743438400316497547462977804217027     -                                                                               HYP-005     
D1                                                                               47737304149926167164625321131264382124658891639997420207713258466188124491956   6705090159910862772877948387357569566296877049380810286250656702067100895316    41032213990015304391747372743906812558362014590616609921462601764121023596640   55946945065598303470720088913194768798043597516956709520487755780845068058938   66811451437327838518686752820822216245025868790318476925441722505451911532789   46399352276192686128392107791270908598288810841930025169944166452941336019094   12367758248064376992176730937069410548742871512494157959324757205749462938856   17266013362278406210698886085302393034587166666765009837812941101398568608968   6689099571565485634151482221612448757735362255200973643840771892903406657046    -                                                                               -                                                                               1.002390544224121151194913473581917267259265517073079397414403256957481786610937     -                                                                               -           
D6                                                                               47406045732152257072888138734882751983668158994299793993103920044702002155205   21733385263346542518830253602591046393604628166771255344760521865800713857886   25672660468805714554057885132291705590063530827528538648343398178901288297319   53667382878722133937245332370909459317637985747396351792792884471514866119301   71010494054914569088940307442382631894841467445828648905167477633225656033690   74080506146912653018602487029686930786748142508873930441218781984479402768362   12367758248064376992176730937069410548742871512494157959324757205749462938856   79956139616585157723200685676546664440195665045371424942842250180879818466250   3576685706163119022387783282695800645879371722623889395281169057011954406533    -                                                                               -                                                                               6.076403421719986467562858369387401340212177374752824336704377484886812624255187     -                                                                               -           
D312                                                                             23327400659343535802348210596745796438928150222695093133360789324169370534414   13685403219012951252662162688137012696270005810867431670937174831124648947311   9641997440330584549686047908608783742658144411827661462423614493044721587103    24012212779511583140570660020696825595451467489348013598212382743689222891691   21213328894113774947651428746706226919054964596308092713885759770928962938667   113877163541551638477864256128046261058215579954828760715182691168472991567869  60482368850898641908750830235051238346586911108723672868055820402045550889057   78953154454707523047056586208479265838168190919918068630100177112441425009782   43788573629926302784930182410805117135363156495797328406613060494390386996      -                                                                               -                                                                               312.5336608283576126405281948882232989698840912499494816104969758802251716077329     -                                                                               -           
D15                                                                              105133330226518171566331425923533579854393555475032737061424806954445283925582  15738170657107795847499714226573627888628172874934300154480566467409899652104   89395159569410375718831711696959951965765382600098436906944240487035384273478   106316481096998710286332996425835091999175991483172713197165810915635978636205  62433523032289873115850195411258054824309594648336097875316253931367777627386   91056017315454982179647170891930249901407094088469439702398084849948747902626   60482368850898641908750830235051238346586911108723672868055820402045550889057   48024378981385645344300342756566720259595699658603502673339229410946113644729   1016053624230764206193221721000511113539186758714837116216458369664149390758    -                                                                               -                                                                               15.48950791748110712766727324126920937542607003278527165515562464052989674142066     -                                                                               -           
