Elliptic curve parameters:
name = secp256k1
mode = test
p = 1241690119
a = 1
b = 35
g = (311072572, 523565415)
n = 1241630743

Using legacy P2PKH preimage for signing.

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k^{-1}      a           m1          m2          f                        x_recovered                 hypothesis  
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D9           623014034   530105230   92908804    812725052   706178813   524170699   860252162   125481516   53880980    -           -           9.838448187096819694     -                           -           
D3           533925033   405973065   127951968   739142739   1052371804  1060344654  860252162   4899284     123489621   -           -           3.287507579280691127     -                           HYP-005     
D12          96980339    320173435   1018437647  168711945   182786106   175483618   860252162   676750566   25248733    -           -           12.68077233816049304     -                           -           
D0           710040258   71656515    638383743   1179449606  902655078   193192625   120832008   566307504   240630910   -           -           0.297785995157479976     -                           -           
D2           753839818   808056987   1187413574  1175130717  1010424159  793560804   952553483   846580634   332548919   -           -           2.429889080469391031     -                           -           
D16          181009537   1004788351  417851929   301178131   96926739    884454968   952553483   26963314    60840943    -           -           16.51500291506001147     -                           -           
D1           745927161   468591166   277335995   1193352219  499428070   489129815   638781453   501347109   298502103   -           -           1.569808591934777759     -                           -           
D103         610201664   273894869   336306795   613209324   735989146   370048250   638781453   255511430   2654344     -           -           103.1874048729177529     -                           -           
D10          775128064   517131345   257996719   866125002   539155240   1229483092  638781453   1154565824  47152560    -           -           10.96719552448477876     -                           -           
D11          1076465352  1010266812  66198540    1217896538  171550332   91485948    638781453   1189170124  86447050    -           -           11.68653889288298444     -                           -           
D11          897265727   931830841   1207065629  1014061120  274397179   1013516558  638781453   486650873   79697976    -           -           11.69202641984283264     -                           -           
D27          316100035   846977856   710752922   351757682   991371623   1043853907  638781453   1047454369  30838859    -           -           27.46463012785265499     -                           -           
D175         1069446982  417205401   652241581   1106242363  1239719365  769923928   816218125   1007640134  2380933     -           -           175.2276947734354557     -                           -           
D2           971844827   275681602   696163225   1187310040  1009126231  985216205   816218125   1196069054  109983975   -           -           2.506561542261043029     -                           -           
D0           520794383   51744634    469049749   718701678   108815958   1140034357  816218125   164507534   124979793   -           -           0.414024001463980661     -                           -           
D0           720869832   245018879   475850953   1087486787  142337488   774875382   813398032   936810714   354252877   -           -           0.691649651726046532     -                           -           
D11          995468356   1085067135  1152031964  1219678519  33453265    540897990   813398032   945402697   98627704    -           -           11.00164650492117306     -                           -           
D5           404917437   313151844   91765593    748916654   219936402   916276552   813398032   967602839   60918220    -           -           5.140528465867847090     -                           -           
D8           499990858   621654191   1119967410  924913009   57988296    371636713   729704464   514721780   75068707    -           -           8.281136252952911524     -                           -           
D6           541006300   209615712   331390588   1050251928  704876928   945305800   729704464   373829294   31760672    -           -           6.599851287781316465     -                           -           
D31          649546430   999822691   891354482   693701830   794360736   853530742   729704464   274464994   31370830    -           -           31.87109461241541903     -                           -           
D702         14733593    452824174   803540162   21778260    266427068   400191849   249417746   864488631   644259      -           -           702.8604551896054226     -                           -           
D23          480853845   1020104449  702380139   699200686   975936565   684751178   249417746   70917783    44160163    -           -           23.10010606165561481     -                           -           
D3           449657843   374171426   75486417    626909833   904667981   213169303   249417746   649971334   95153863    -           -           3.932277830906350065     -                           -           
D2           751246069   823587440   1169289372  1218178408  1234094845  1176674093  738748436   137821121   284313730   -           -           2.896755777499735943     -                           -           
D2           569364194   135501545   433862649   739551576   290593473   115537949   738748436   26905521    58802048    -           -           2.304367783244556380     -                           HYP-005     
D6           398438990   233643751   164795239   443614209   1015199163  774443074   738748436   1108380105  37037238    -           -           6.308347047908918046     -                           HYP-005     
D0           398884711   154734390   244150321   623409917   1174615156  695399161   269211672   1066512204  174359505   -           -           0.887444535931666013     -                           -           
D74          870643548   694800912   175842636   891149929   260812995   1018375582  269211672   932980131   9375546     -           -           74.10778124282041813     -                           -           
D2           709234709   635063928   74170781    1142484531  875803078   775215611   513521696   307757114   275984887   -           -           2.301082261797907796     -                           HYP-005     
D181         581291222   1120268435  702653530   645193389   357553322   266927091   958238752   99581541    6171719     -           -           181.5164356964404892     -                           -           
D3           821346458   192500935   628845523   1013762380  210221905   704948135   958238752   112805904   51682770    -           -           3.724663654831194225     -                           -           
D16          998494380   575860469   422633911   1078843621  265137594   83737556    958238752   96001272    34303488    -           -           16.78722784691749130     -                           -           
D2           329413061   167958912   161454149   418602266   84673634    468405959   958238752   350778993   61845446    -           -           2.715784635137080263     -                           -           
D1           767146618   413200755   353945863   1042063732  884513161   242399619   670494754   938650961   217312390   -           -           1.901413697580703981     -                           -           
D7           150482819   151073385   1241040177  280316937   417285288   785735519   670494754   377914334   20648701    -           -           7.316362661263776350     -                           HYP-005     
D2           670459848   506984685   163475163   1117303232  1102991604  647223524   436131875   931950069   223616464   -           -           2.267206429844986726     -                           -           
D0           303483684   32804268    270679416   503434427   1155622579  675654419   436131875   89789272    103532941   -           -           0.316848605701252126     -                           -           
D26          821136752   886423345   1176344150  864872011   93872315    1210242990  436131875   623421359   33902090    -           -           26.14656928230678403     -                           -           
D3           388600637   526851527   1103379853  618303682   118470947   1176833443  436131875   377042622   158897592   -           -           3.315667156239850381     -                           HYP-005     
D4           564423925   1103388110  702666558   865914751   1154838032  977938002   265410596   1092016696  262933099   -           -           4.196459533609346003     -                           -           
D24          1196308545  453307480   743001065   1232007412  562802646   1188587660  265410596   939300127   18245934    -           -           24.84430120157181320     -                           -           
D1           740684083   439083440   301600643   1141549572  717831063   266990793   265410596   1076081582  339818594   -           -           1.292111284528474036     -                           HYP-005     
D5           338880871   446227823   1134283791  469002406   302105710   369208007   138377257   938876499   78637801    -           -           5.674469750241362929     -                           -           
D18          559477612   351104793   208372819   694717983   984435982   15160183    840788011   271274436   18516128    -           -           18.96210660241709281     -                           -           
D10          356674244   730288003   868016984   643932371   1116593813  236255109   840788011   69623099    69416117    -           -           10.52043869005234043     -                           -           
D0           865599369   151788842   713810527   1203665559  856784879   20698228    840788011   845744929   189466989   -           -           0.801136086033435618     -                           -           
