Elliptic curve parameters:
name = secp17k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

Using random message hashes and nonces (only for test curves).

---------------------------------------------------------------------------------------------------------------------------------------------------------
case    s      s_zk*  s_rxk*  s_zr   z      r_x    r_y    x*     k*     k^{-1}*  a      m1*    m2*  f*                          x_recovered  hypothesis
---------------------------------------------------------------------------------------------------------------------------------------------------------
D41     64375  24145  40230   69282  80387  19051  31172  92265  30277  89301    584    -      -    41.34417808219178082191     -            -
D2      36383  22747  13636   49735  93129  16319  23722  77924  56009  91081    9679   -      -    2.35013947721872094224      -            -
D14     28393  82236  45824   51262  70085  41958  82761  16633  8161   50609    5524   -      -    14.88703837798696596669     -            -
D8      53823  45496  8327    70011  22293  5073   85275  66280  62989  10258    5259   -      -    8.65107434873550104582      -            -
D2      58631  56721  1910    98089  46183  9761   86576  94166  14311  64295    19173  -      -    2.95837897042716319824      -            -
D11     35137  81964  52840   44566  70494  37702  34889  73943  68079  18234    6850   -      -    11.96554744525547445255     -            -
D2      26141  10091  16050   47483  13926  4090   29237  73834  96251  66610    4799   -      -    2.10272973536153365284      -            -
D1      48198  29174  19024   75600  56655  39029  61373  10688  83035  14352    20796  -      -    1.40286593575687632236      -            -
D91     76412  49521  26891   80627  12074  84807  37604  45591  30898  86703    542    -      -    91.36715867158671586715     -            -
D2      64656  90455  73868   97086  2092   6621   11529  3549   60804  32011    32226  -      -    2.80689505368336126109      -            -
D3      62954  39315  23639   76022  47947  36123  98143  88896  98677  61713    10682  -      -    3.68049054484178992697      -            -
D12     31437  78440  52664   44098  18541  8157   38655  50883  64874  37079    6115   -      -    12.82747342600163532297     -            -
D3      63943  47879  16064   80420  40527  62893  71191  57056  81824  37542    14512  -      -    3.29926957001102535832      -            -
D3      60212  23333  36879   77847  32094  27402  59662  43044  43528  22121    7307   -      -    3.19323935951827015190      -            -
D5      50358  31984  18374   95325  46606  7459   39955  12716  71567  41509    5391   -      -    5.93285104804303468744      -            -
D4      61130  12895  48235   65596  52864  86961  79777  74884  88603  13143    3072   -      -    4.19759114583333333333      -            -
D4      43936  30086  13850   81409  34098  15117  86465  63072  47095  2766     6463   -      -    4.65511372427665170973      -            -
D0      16910  1165   15745   21501  98027  42710  53974  59799  32508  22789    3137   -      -    0.37137392413133567102      -            -
D13     75793  30190  45603   79471  68651  42559  75500  4221   56379  77847    2233   -      -    13.51992834751455441110     -            -
D95     48698  22154  26544   58391  82099  97922  55947  61713  81293  73603    233    -      -    95.08154506437768240343     -            -
D26     81330  55168  26162   83595  19917  980    2994   44385  27347  98734    2055   -      -    26.84574209245742092457     -            -
D49     38890  65619  72938   57676  37651  95044  49706  80092  67633  80125    1318   -      -    49.78679817905918057663     -            -
D32     47074  68076  78665   69554  35795  89389  56149  3030   61097  36107    2114   -      -    32.20245979186376537369     -            -
D58     55013  89602  65078   65711  8063   75361  38359  26633  55987  65265    1523   -      -    58.83256730137885751805     -            -
D6      35985  64909  70743   61395  21306  18401  86578  37497  21144  33623    10575  -      -    6.13796690307328605200      -            -
D13     62992  63564  99095   74641  93877  50819  9880   54437  55798  12073    4747   -      -    13.39035180113756056456     -            -
D9      35157  49158  85666   65219  29421  49895  35598  73648  19580  9758     5095   -      -    9.64828263002944062806      -            -
D6      54642  24199  30443   59749  49453  86937  65049  33996  89010  26523    3572   -      -    6.77463605823068309070      -            -
D5      43468  48941  94194   78037  35605  8831   95027  8076   71430  55278    8899   -      -    5.49960669738172828407      -            -
D0      58039  290    57749   66026  19183  2409   96796  79967  14157  55624    2130   -      -    0.13615023474178403755      -            -
D6      74279  89630  84316   89551  2044   63189  48778  31927  33146  70942    13191  -      -    6.79478432264422712455      -            -
D16     55528  44074  11454   81938  46308  65366  81196  72988  87909  75653    2708   -      -    16.27548005908419497784     -            -
D6      82589  22914  59675   98353  93423  15228  49479  93662  51821  21162    3769   -      -    6.07959671000265322366      -            -
D92     70419  72851  97235   93629  6650   66154  88850  34143  47685  5961     789    -      -    92.33333333333333333333     -            -
D6      41492  27215  14277   60148  18563  92583  10539  87246  38073  31937    4180   -      -    6.51076555023923444976      -            -
D8      49566  38385  11181   94344  78331  39683  84815  92587  65634  53153    4788   -      -    8.01691729323308270676      -            -
D18     17590  59691  57566   32032  76747  31899  24951  43684  18829  28319    3148   -      -    18.96156289707750952986     -            -
D7      35357  61621  73403   62632  75045  92694  14619  37095  77605  39687    8082   -      -    7.62447414006434050977      -            -
D2217   37738  84276  53129   38318  33195  76387  65081  27157  21646  64982    38     -      -    2217.78947368421052631578   -            -
D17     40917  88938  51646   48111  60927  4766   60411  28581  64129  18866    4947   -      -    17.97816858702243784111     -            -
D0      53639  12907  40732   71595  80561  90936  65984  2611   22840  29311    17727  -      -    0.72809838100073334461      -            -
D21840  10037  87362  22342   10116  75997  83447  6952   94002  40541  17917    4      -      -    21840.50000000000000000000  -            -
D3      52371  74524  77514   83562  88111  57485  3913   81374  94542  58400    21180  -      -    3.51860245514636449480      -            -
C       58145  51390  6755    60762  62906  19229  83406  46763  65674  92123    571    90     -    -                           -            -
