Elliptic curve parameters:
name = secp256k1
mode = legacy
p = 115792089237316195423570985008687907853269984665640564039457584007908834671663
a = 0
b = 7
g = (55066263022277343669578718895168534326250603453777594175500187360389116729240, 32670510020758816978083085130507043184471273380659243275938904335757337482424)
n = 115792089237316195423570985008687907852837564279074904382605163141518161494337

Directly constructed signatures for taxonomy classes A E. z is CHOSEN so that each signature lands in its class -- it is not the hash of any particular message. Every row is nonetheless an honest ECDSA signature: it verifies against x*G, and the private key x* is re-derived from the public (z, r, s) by the recovery routine and confirmed on the curve. Constructing such a signature requires already knowing x, so none of this transfers to a signature you did not create yourself.

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case  s                                                                               s_zk*                                                                           s_rxk*                                                                          s_zr                                                                            z                                                                               r_x                                                                             r_y                                                                             x*                                                                              k*                                                                              k^{-1}*                                                                         a  m1*  m2*  f*  x_recovered                                                                     hypothesis
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
A     12508468192732377935659486354472803180255601022826811916919556543817065003437   1                                                                               12508468192732377935659486354472803180255601022826811916919556543817065003436   12508468192732377935659486354472803180255601022826811916919556543817065003440   8145086808902802521308386512790515057001115173597524053991466162198558762499    57079190477549512481968729810762284414847289590102352992543172353062656515512   80118498999418349696024929256553540243785426940361303990783406514328815266521   7414057979830083194814693724014204636861342693672621820837604175265831188393    8145086808902802521308386512790515057001115173597524053991466162198558762499    45861406304045784257619253334752012260118661365608663984673025932225419771940   1  1    -    -   7414057979830083194814693724014204636861342693672621820837604175265831188393    -
A     96652599719811305860190810205444336175180384019810535519095371496146403802469   1                                                                               96652599719811305860190810205444336175180384019810535519095371496146403802468   96652599719811305860190810205444336175180384019810535519095371496146403802471   74380584353468659804142583912843585191510734293406939048256213909732338715367   107233306885425213194585587495718453238552950053738122514449327430152913509713  62908899597275057863040497213255704485941415912007854023061510452094745282272   100768530298385478403040389502374442990107908552951633436314106090172300430249  74380584353468659804142583912843585191510734293406939048256213909732338715367   28935382436440475697982702520519118469189391669252353478142346271174538837815   1  1    -    -   100768530298385478403040389502374442990107908552951633436314106090172300430249  -
A     63704122818140798001622367749353572057747368183954151617164416780987555791027   1                                                                               63704122818140798001622367749353572057747368183954151617164416780987555791026   63704122818140798001622367749353572057747368183954151617164416780987555791029   20859628098479103700046279860093900001849530769353404472152672771683930281850   100271638787511733337175695775501404435114674257396185654838535139166726838313  4556346142891713441505262051570232618436900652924899297563360074374275380439    55809528964135358386242426834129561012242195855470057849718831598134196867700   20859628098479103700046279860093900001849530769353404472152672771683930281850   35604339035589949301329773512396419715510702932984219474178183742163517516418   1  1    -    -   55809528964135358386242426834129561012242195855470057849718831598134196867700   -
A     29547356915542575993558906152145117361798979824073120845028111073579206465791   1                                                                               29547356915542575993558906152145117361798979824073120845028111073579206465790   29547356915542575993558906152145117361798979824073120845028111073579206465793   55437241239318827054833253605181995744246591938676314687741655745211222359488   72972188023141284668075865064767759973307080654186361836467848361786506465090   71705027616834374474000974553683658630534880063949033828605978911736833374761   105770473421289180289467438820040778418397564668033357819810516689884788983634  55437241239318827054833253605181995744246591938676314687741655745211222359488   68743045265152048958193414964344690572213906655449769214733610163969465840789   1  1    -    -   105770473421289180289467438820040778418397564668033357819810516689884788983634  -
A     45918616591425886574396892771838135302664090689524214117149710796233748583311   1                                                                               45918616591425886574396892771838135302664090689524214117149710796233748583310   45918616591425886574396892771838135302664090689524214117149710796233748583313   73190032332844057399646586052089974873202622186082635280820987877725756901468   72769164627388460637474326499427533444465728262883872624093132080808806453914   40135689421047625560847940928785828915735571275819816885602463616234954624058   34057282842741324468064085741845669316998076331672291274353937386965249724354   73190032332844057399646586052089974873202622186082635280820987877725756901468   3388410044493283826827464451978387443414379527454700145881132187450011569817    1  1    -    -   34057282842741324468064085741845669316998076331672291274353937386965249724354   -
A     77022865948242825068520672730123821343624531466103606349027179980837887880705   1                                                                               77022865948242825068520672730123821343624531466103606349027179980837887880704   77022865948242825068520672730123821343624531466103606349027179980837887880712   105642381218583257558074120930556636683263999296992945826702306337002108730608  21151561810620160377106448429595038082637628248100487271543226778139620842780   60725056629663590256505414864311947897512506902354622088234968999521057437104   21477452662709660322707302764498704438377240411799079257943221729114261423053   105642381218583257558074120930556636683263999296992945826702306337002108730608  57611425529367013922771613954747054876555217771612753758408781897670075460723   1  1    -    -   21477452662709660322707302764498704438377240411799079257943221729114261423053   -
A     102669982122924312451586137297129135763693826148882344232055806503935027828815  1                                                                               102669982122924312451586137297129135763693826148882344232055806503935027828814  102669982122924312451586137297129135763693826148882344232055806503935027828818  85419869632934816583981384020737828259217268964748624742107694611903133297313   45402345282972020961377175593080361690074949169893688947698570855014604060187   113260184079217990155230042155768268230015992410761058415456182271378547808596  88949099980285340287621201895896363504843376089789119120514919522201513268421   85419869632934816583981384020737828259217268964748624742107694611903133297313   49136048088542760571430959148742155826383349589215901550845175986876392508249   1  1    -    -   88949099980285340287621201895896363504843376089789119120514919522201513268421   -
A     13751776512578141623119302973640250489115398552166981022726621809272967738663   1                                                                               13751776512578141623119302973640250489115398552166981022726621809272967738662   13751776512578141623119302973640250489115398552166981022726621809272967739940   6540502010786883330221377786173041097452332407704742957541638853374539019407    85357763969309700019198210978927637641104028638391914946976576799174347262767   73049227748020843475410194692337579731130375699145263940328800942800021341851   48489373112355277460169299452878042702884159496565888745319340908064354974226   6540502010786883330221377786173041097452332407704742957541638853374539019407    68132263256861289564987846971146013083401661639430798316378168775383076915563   1  1    -    -   48489373112355277460169299452878042702884159496565888745319340908064354974226   -
A     78174576770997553104955918427438226577287028020540610654158741721234783547091   1                                                                               78174576770997553104955918427438226577287028020540610654158741721234783547090   78174576770997553104955918427438226577287028020540610654158741721234783547093   25070507864119248827313234011016680274655967954418445080098889416516969386566   89537347981332298324558729405968751908549955707806415906955874644824259367605   101264426485429857501014081925531104459989378028645978318552758874098751244780  81063901791990535008076946297328090234811989576709982896154124207799380951429   25070507864119248827313234011016680274655967954418445080098889416516969386566   33822569015636174524869971425174864107083824080691185395735856355327383208648   1  1    -    -   81063901791990535008076946297328090234811989576709982896154124207799380951429   -
