Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         a           m1          m2          f                        
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D8           48042       63894       83815       68296       36642       86047       39914       80819       7534        -           -           8.480753915582691797     
D48          86916       67577       19339       92261       46382       62664       39914       6622        1396        -           -           48.40759312320916905     
D0           84412       7091        77321       97001       18098       52284       39914       41353       8878        -           -           0.798715927010587970     
D8           22914       83247       39334       35814       15423       52928       39914       37887       10014       -           -           8.313061713600958657     
D5           39545       59153       80059       67345       69117       67481       39914       2148        11745       -           -           5.036441038739889314     
D29          45539       80772       64434       66921       60061       33963       39914       79493       2775        -           -           29.10702702702702702     
D179         69943       80301       89309       70895       10652       64895       39914       19591       447         -           -           179.6442953020134228     
D12          39114       75651       63130       55759       46468       96689       39914       58451       5824        -           -           12.98952609890109890     
D0           46933       14777       32156       75904       88936       10033       39914       19828       17962       -           -           0.822681215900233826     
D7           60086       13291       46795       62097       91506       32771       39914       8364        1767        -           -           7.521788341822297679     
D7           59139       28333       30806       86876       77677       39464       39914       46723       3665        -           -           7.730695770804911323     
D3           54180       76010       77837       88770       22822       11341       39914       96657       19590       -           -           3.880040837161817253     
D5           79360       53319       26041       93126       36308       40459       39914       38605       10530       -           -           5.063532763532763532     
D6           26636       80175       46128       41271       62386       87796       39914       41751       12001       -           -           6.680693275560369969     
D3           80609       26482       54127       91024       40380       22          39914       58236       7704        -           -           3.437435098650051921     
D30          54864       46774       8090        57671       36856       97708       39914       77618       1531        -           -           30.55127367733507511     
D2           71246       30703       40543       91355       91501       89611       39914       78585       10919       -           -           2.811887535488597856     
D11          34680       47591       86756       44822       16526       27950       39914       12119       4254        -           -           11.18735307945463093     
D97          27313       66872       60108       40626       32816       39636       39914       49301       687         -           -           97.33915574963609898     
D16          89576       88217       1359        97989       247         11695       39914       54024       5446        -           -           16.19849430774880646     
D3           46385       64950       81102       73248       10913       6144        39914       30528       19522       -           -           3.327015674623501690     
D13          80581       66306       14275       99485       53152       74799       39914       85466       4965        -           -           13.35468277945619335     
D38          27406       65357       61716       33833       71286       34723       39914       18617       1698        -           -           38.49057714958775029     
D11          53620       97696       55591       99070       46649       96334       39914       11033       8170        -           -           11.95789473684210526     
D1           61940       11015       50925       88541       26301       3736        33265       4256        8738        -           -           1.260585946440833142     
D11          35359       34303       1056        51553       87775       13531       33265       10465       2971        -           -           11.54594412655671491     
D11          86023       56660       29363       97578       90216       12191       33265       9232        5138        -           -           11.02763721292331646     
D121         67864       30968       36896       71841       12865       912         33265       39753       255         -           -           121.4431372549019607     
D4           58104       96645       61126       96580       25281       13057       33265       91108       19628       -           -           4.923833299368249439     
D194         38773       65866       72574       40520       94888       54653       33265       2322        339         -           -           194.2949852507374631     
D19          14778       61845       52600       20556       6000        71963       33265       57568       3222        -           -           19.19459962756052141     
D6           46273       68923       77017       63864       88391       65013       33265       76123       11091       -           -           6.214317915426922730     
D21          22931       96905       25693       41256       28082       90029       33265       64935       4606        -           -           21.03886235345201910     
D15          32650       96674       35643       45770       69671       74247       33265       13334       6410        -           -           15.08174726989079563     
D0           77188       3036        74152       97661       15567       97394       33265       94462       15769       -           -           0.192529646775318663     
D3           59982       57710       2272        81515       85652       30929       33265       14041       16916       -           -           3.411563017261764010     
D4           37852       54356       83163       64126       36462       37368       33265       18414       11578       -           -           4.694765935394714113     
D138         82948       50145       32803       94746       60412       12992       33265       20869       362         -           -           138.5220994475138121     
D178         74569       95118       79118       89376       18406       17116       33265       525         534         -           -           178.1235955056179775     
D1           61063       57075       3988        92613       84386       37771       33265       54216       29513       -           -           1.933893538440687154     
D6           51762       53537       97892       60487       46723       12493       33265       70139       8137        -           -           6.579451886444635615     
D1           51631       8215        43416       62985       10443       37714       33265       4286        6215        -           -           1.321802091713596138     
D4           43696       38132       5564        79656       65876       41456       33265       61626       7736        -           -           4.929162357807652533     
D12          22232       59641       62258       39801       19039       33631       33265       4725        4663        -           -           12.79026377868325112     
D1           12169       3781        8388        16752       7576        41153       33265       97681       3003        -           -           1.259074259074259074     
D59          12743       73599       38811       24243       59348       94500       33265       41097       1243        -           -           59.21078037007240547     
D1           65226       4872        60354       77499       45039       53450       79569       90114       3861        -           -           1.261849261849261849     
D24          51497       88993       62171       99333       30837       97188       79569       98028       3661        -           -           24.30838568697077301     
D0           43947       2231        41716       57537       76069       78568       79569       84610       3177        -           -           0.702234812716399118     
D18          46898       38959       7939        91649       19935       69739       79569       11891       2147        -           -           18.14578481602235677     
D150         16362       75295       40734       17083       93037       51244       79569       61698       500         -           -           150.59                   
D48          90709       81337       9372        95161       17011       33765       79569       94885       1669        -           -           48.73397243858597962     
